title,directions,PrepTime,Difficulty
Gooey Butter Cake,"Preheat oven at 350.  Mix cake mix with 1 egg and butter, melted.  Press into a 9 x 12 cake pan that has been greased and floured.  Then mix 2 eggs, cream cheese, 1 box powdered sugar and vanilla together.  Use a blender until all mixed, then pour over cake in pan and bake about 35 to 40 minutes at 350 or until you can stick a toothpick in and it comes out clean.  Cool, then cut into squares and eat.",45,4
Corn Pudding,"Mix flour, sugar, salt and pepper.  Add to corn.  Add melted butter. Add eggs.  Add milk.  Pour into greased casserole.  Place in a pan of water. Bake at 325 for 1 hour.  Serves 6.",30,1
Honey Cake,"Preheat oven to 325.  Grease and flour a 9 x 13-inch cake pan.  In a large mixing bowl, beat eggs and honey together.  Add sugar and mix again.  Mix coffee with baking powder and add margarine to the egg mixture.  Add baking soda, flour and cinnamon and beat together well.  Pour into greased cake pan.  Bake for 55 minutes to 1 hour.",100,5
Enchiladas,"In a saucepan, combine tomato paste, water, garlic and chili powder; simmer 20 minutes.  In skillet, brown ground beef with half of the onions; drain fat.  Stir in 1 1/2 cups of cheese and 1 cup tomato paste mixture.  Spoon 1/4 cup tomato paste mixture in 3-quart shallow baking dish.  Soften tortillas, one at a time, by dipping in and out of remaining mixture.  Spoon beef mixture down center of each tortilla; roll up.  Place seam side down in baking dish.  Pour remaining tomato paste mixture over top.  Sprinkle with remaining cheese and onions.  Bake at 350 for 20 minutes. Makes 6 servings.",120,1
Zucchini In Tomato Juice(From Weight Watchers)  ,"Cut zucchini in half lengthwise, then cut into cubes.  Put all ingredients in a saucepan and cook until the zucchini is tender.",150,2
Pineapple Casserole,"Mix sugar, flour and cheese.  Add pineapple; pour in greased 10 x 10-inch casserole.  Sprinkle crackers on top.  Pour melted butter over top.  Bake at 350 for 30 minutes.",25,2
Brunswick Stew,"Bring chicken to boil in salted water.  Reduce heat and simmer 1 hour, until tender.  Remove from both.  Add vegetables to broth and simmer until tender.  Strip chicken from bones in large pieces and add to stew last 5 minutes of cooking.",100,3
Cheese Ball,"Mix together cream cheese, mayonnaise and lemon juice.  Finely chop onions, beef, olives and bell pepper. Add to cheese mixture and mix well. Chill at least 6 hours.  Shape into a ball and roll in chopped nuts. Serve with Ritz crackers.",75,5
Marinated Carrots,"Wash and scrape carrots. Cut in diagonal slices. Cook and drain. Cool. Combine carrots with raw onion rings in a bowl. Combine tomato soup, sugar, oil, vinegar, salt and pepper in saucepan.  Bring to boiling point; stir to dissolve sugar.  Pour hot mixture over vegetables and mix together.  Cover and chill in refrigerator overnight.",30,1
Blueberry Cake,"Beat egg whites until stiff; add 1 cup sugar.  Set aside. Cream the shortening, salt, rest of sugar and vanilla.  Add egg yolks.  Beat until creamy.  Add baking powder, milk and flour to mixture alternately.  Fold in egg whites, then blueberries.  Pour into a well-greased and floured 9 x 13-inch pan.  Sugar the top. Bake at 350 for 50 minutes.",150,5
Summer Squash Casserole,"Cook squash and onion (in pot with just enough water to coat bottom or steam them),  drain and set aside. Mix the soup (do not add water) with the sour cream; combine with  squash and onion. Melt butter and combine with stuffing. Put layer of stuffing along bottom of 6 X 10 inch baking dish. Alternate layers of squash and stuffing ending with stuffing. Bake at 350 for 20-25 minutes.",100,3
Skor Cake,"Make cake according to directions on box and bake in 9 x 13-inch pan.  Immediately after removing from oven, poke holes all over cake and pour Eagle Brand milk and caramel sauce over top of cake.  Allow cake to completely cool and then ice with Cool Whip. Crush Skor candy bars and sprinkle over cake.  Keep refrigerated.",120,1
Never Fail Pie Crust(Double Pie Crust)  ,"Combine flour, sugar and salt.  Put shortening in a chilled bowl and add flour mixture.  Blend with pastry blender to a coarse meal.  Blend egg and ice cold water together, then add vinegar and blend.  Add to flour mixture and mix well.  Roll out on floured surface.",150,2
